Mohandis,Linköping,47401510239,07.08.1969,6154311447
Livy,Larvik,18026732988,13.03.1946,2485949662
Audry,São Mamede de Infesta,36582252680,15.06.1982,1973312034
Aigneis,Henglan,33919527646,22.02.1975,3045462721
Dore,Midleton,46681572453,06.08.1949,6542825363
Billie,Poroshkovo,55188651413,20.09.1990,1557665246
Jonis,Gaotian,42505606890,26.11.1987,2028562017
Korney,Itaperuçu,99957929041,30.11.1946,7039961736
Giacinta,Dhaka,91906017887,11.01.1920,1195492487
Teddy,Quilpué,33245507093,21.09.1992,1839108011
Darnall,Puntaru,95449935855,10.05.2014,5538233354
Holly-anne,Jinping,99353286867,30.12.1942,7731806734
Ileane,Jackson,42623970216,31.03.1947,6014769924
